kepid,label,file
10002261,stellar_eclipse,debo_model/datasets/10002261.npz
10015516,unlabeled,debo_model/datasets/10015516.npz
10019708,stellar_eclipse,debo_model/datasets/10019708.npz
10019763,stellar_eclipse,debo_model/datasets/10019763.npz
10031500,not_transit,debo_model/datasets/10031500.npz
10031656,stellar_eclipse,debo_model/datasets/10031656.npz
10031885,stellar_eclipse,debo_model/datasets/10031885.npz
10033279,centroid_offset,debo_model/datasets/10033279.npz
10068024,stellar_eclipse,debo_model/datasets/10068024.npz
10068030,stellar_eclipse,debo_model/datasets/10068030.npz
10090257,stellar_eclipse,debo_model/datasets/10090257.npz
10098844,not_transit,debo_model/datasets/10098844.npz
10118816,transit,debo_model/datasets/10118816.npz
10122255,transit,debo_model/datasets/10122255.npz
10125352,stellar_eclipse,debo_model/datasets/10125352.npz
10141900,transit,debo_model/datasets/10141900.npz
10148521,centroid_offset,debo_model/datasets/10148521.npz
10149023,transit,debo_model/datasets/10149023.npz
10153827,unlabeled,debo_model/datasets/10153827.npz
10154388,transit,debo_model/datasets/10154388.npz
10157458,transit,debo_model/datasets/10157458.npz
10158990,stellar_eclipse,debo_model/datasets/10158990.npz
10166274,transit,debo_model/datasets/10166274.npz
10187017,transit,debo_model/datasets/10187017.npz
10189557,centroid_offset,debo_model/datasets/10189557.npz
10202759,centroid_offset,debo_model/datasets/10202759.npz
10206675,stellar_eclipse,debo_model/datasets/10206675.npz
10212441,not_transit,debo_model/datasets/10212441.npz
10223616,not_transit,debo_model/datasets/10223616.npz
10227501,centroid_offset,debo_model/datasets/10227501.npz
10232123,centroid_offset,debo_model/datasets/10232123.npz
10232693,centroid_offset,debo_model/datasets/10232693.npz
10268907,Ephemeris match,debo_model/datasets/10268907.npz
1026957,transit,debo_model/datasets/1026957.npz
10272640,transit,debo_model/datasets/10272640.npz
1027438,not_transit,debo_model/datasets/1027438.npz
10275766,unlabeled,debo_model/datasets/10275766.npz
10287248,stellar_eclipse,debo_model/datasets/10287248.npz
10287723,transit,debo_model/datasets/10287723.npz
10294465,unlabeled,debo_model/datasets/10294465.npz
10295951,transit,debo_model/datasets/10295951.npz
10319385,transit,debo_model/datasets/10319385.npz
10330115,transit,debo_model/datasets/10330115.npz
10337517,transit,debo_model/datasets/10337517.npz
10341831,centroid_offset,debo_model/datasets/10341831.npz
10341913,centroid_offset,debo_model/datasets/10341913.npz
10341917,Ephemeris match,debo_model/datasets/10341917.npz
